0,1541998044,b2c79388a6a1,scih-machine_gps-service_1,0.00%,90.77MiB,3.607GiB,2.46%
0,1541998044,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
0,1541998044,3f6c1609d992,scih-machine_mongodb_1,0.26%,101.3MiB,3.607GiB,2.74%
0,1541998044,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
1,1541998044,b2c79388a6a1,scih-machine_gps-service_1,0.00%,90.77MiB,3.607GiB,2.46%
1,1541998044,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
1,1541998044,3f6c1609d992,scih-machine_mongodb_1,0.26%,101.3MiB,3.607GiB,2.74%
1,1541998044,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
2,1541998044,b2c79388a6a1,scih-machine_gps-service_1,0.00%,90.77MiB,3.607GiB,2.46%
2,1541998044,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
2,1541998044,3f6c1609d992,scih-machine_mongodb_1,0.26%,101.3MiB,3.607GiB,2.74%
2,1541998044,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
3,1541998045,b2c79388a6a1,scih-machine_gps-service_1,0.08%,90.77MiB,3.607GiB,2.46%
3,1541998045,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
3,1541998045,3f6c1609d992,scih-machine_mongodb_1,0.28%,101.3MiB,3.607GiB,2.74%
3,1541998045,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
4,1541998045,b2c79388a6a1,scih-machine_gps-service_1,0.08%,90.77MiB,3.607GiB,2.46%
4,1541998045,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
4,1541998045,3f6c1609d992,scih-machine_mongodb_1,0.28%,101.3MiB,3.607GiB,2.74%
4,1541998045,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
5,1541998045,b2c79388a6a1,scih-machine_gps-service_1,0.08%,90.77MiB,3.607GiB,2.46%
5,1541998045,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
5,1541998045,3f6c1609d992,scih-machine_mongodb_1,0.28%,101.3MiB,3.607GiB,2.74%
5,1541998045,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
6,1541998045,b2c79388a6a1,scih-machine_gps-service_1,0.08%,90.77MiB,3.607GiB,2.46%
6,1541998045,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
6,1541998045,3f6c1609d992,scih-machine_mongodb_1,0.28%,101.3MiB,3.607GiB,2.74%
6,1541998045,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
7,1541998045,b2c79388a6a1,scih-machine_gps-service_1,0.08%,90.77MiB,3.607GiB,2.46%
7,1541998045,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
7,1541998045,3f6c1609d992,scih-machine_mongodb_1,0.28%,101.3MiB,3.607GiB,2.74%
7,1541998045,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
8,1541998046,b2c79388a6a1,scih-machine_gps-service_1,0.00%,90.77MiB,3.607GiB,2.46%
8,1541998046,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
8,1541998046,3f6c1609d992,scih-machine_mongodb_1,0.24%,101.3MiB,3.607GiB,2.74%
8,1541998046,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
9,1541998046,b2c79388a6a1,scih-machine_gps-service_1,0.00%,90.77MiB,3.607GiB,2.46%
9,1541998046,d86df3a550c5,scih-machine_api-gateway_1,0.00%,101.2MiB,3.607GiB,2.74%
9,1541998046,3f6c1609d992,scih-machine_mongodb_1,0.24%,101.3MiB,3.607GiB,2.74%
9,1541998046,35a0115bbd95,scih-machine_ui-service_1,0.00%,51.54MiB,3.607GiB,1.40%
